File|Manual Only|Correct|Common|Correct|Incorrect|Temis Only|Correct|Incorrect|
FR-9789264026414-9806032e.pdf|[GeographicalAreas]: China|1|||||||
FR-9789264026414-9806032e.pdf|[GeographicalAreas]: Latvia|1|||||||
FR-9789264026414-9806032e.pdf|[GeographicalAreas]: Brazil|1|||||||
FR-9789264026414-9806032e.pdf|[GeographicalAreas]: Russian Federation|1|||||||
FR-9789264026414-9806032e.pdf|[Topics]: programme evaluation|1|||||||
FR-9789264026414-9806032e.pdf|[Topics]: educational research|1|||||||
FR-9789264026414-9806032e.pdf|[Topics]: mathematics|1|||||||
FR-9789264026414-9806032e.pdf|[Topics]: college students|1|||||||
FR-9789264026414-9806032e.pdf|[Topics]: educational systems|1|||||||
FR-9789264026414-9806032e.pdf|||[GeographicalAreas]: OECD countries|1|||||
FR-9789264026414-9806032e.pdf|||[Topics]: reading|1|||||
FR-9789264026414-9806032e.pdf|||[Topics]: knowledge|1|||||
FR-9789264026414-9806032e.pdf|||[Topics]: science|1|||||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Partner economies|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: France|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Paris|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Warsaw|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Scotland|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Lyon|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: United Arab Emirates|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: World|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: MENA countries|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Dordrecht|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Indonesia|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Java|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Borneo|1||
FR-9789264026414-9806032e.pdf||||||[GeographicalAreas]: Chad|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: surveys|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: groups|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: attitudes|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: science and technology|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: culture|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: credit|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: information|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: scientific culture|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: managers|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: assessment|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: skills|1||
FR-9789264026414-9806032e.pdf||||||[Topics]: students|1||
|||||||||
EN-9789264031821-0407061e.pdf|[Topics]: regional integration|1|||||||
EN-9789264031821-0407061e.pdf|[Topics]: national policy|1|||||||
EN-9789264031821-0407061e.pdf|||[Topics]: innovations|1|||||
EN-9789264031821-0407061e.pdf||||||[GeographicalAreas]: France|1||
EN-9789264031821-0407061e.pdf||||||[GeographicalAreas]: United States|1||
EN-9789264031821-0407061e.pdf||||||[GeographicalAreas]: Oregon|1||
EN-9789264031821-0407061e.pdf||||||[GeographicalAreas]: Georgia|1||
EN-9789264031821-0407061e.pdf||||||[GeographicalAreas]: United Kingdom|1||
